texture_tag_hex,status,bound_bsi_stem,confidence,face_count,model_count,candidate_bsi_stems,notes
1c00fc010000,unbound,,none,8,8,,
0a00d6060000,unbound,,none,8,8,,
1c0074020000,unbound,,none,8,8,,
8400e8050000,unbound,,none,8,8,,
11004e060000,unbound,,none,8,8,,
8000a4050000,unbound,,none,8,8,,
0b002c060000,unbound,,none,8,8,,
300074020000,unbound,,none,8,8,,
0c00ec010000,unbound,,none,8,8,,
a53603000000,unbound,,none,8,8,,
90002c060000,unbound,,none,8,8,,
540000000000,unbound,,none,8,8,,
700400005800,unbound,,none,8,2,,
a8003e050000,unbound,,none,8,8,,
5c0094040000,unbound,,none,8,8,,
cd4cfdff0000,unbound,,none,8,8,,
b0005e070000,unbound,,none,8,8,,
6400d8040000,unbound,,none,8,8,,
10000e020000,unbound,,none,8,8,,
0600b6040000,unbound,,none,8,8,,
70003e050000,unbound,,none,8,8,,
b40080070000,unbound,,none,8,8,,
740060050000,unbound,,none,8,8,,
08006ea40000,unbound,,none,8,8,,
bc00c4070000,unbound,,none,8,8,,
8c002c060000,unbound,,none,8,8,,
0c000b9d0200,unbound,,none,8,8,,
980072040000,unbound,,none,8,8,,
480096020000,unbound,,none,8,8,,
70001e030000,unbound,,none,8,8,,
073e01000000,unbound,,none,8,8,,
780082050000,unbound,,none,8,8,,
2400b8020000,unbound,,none,8,8,,
0800ca010000,unbound,,none,8,8,,
00a0ffff0000,unbound,,none,8,5,,
670000006800,unbound,,none,8,8,,
00000000ff00,unbound,,none,8,3,,
000100000800,unbound,,none,8,8,,
0000020000c0,unbound,,none,8,3,,
0c0054010000,unbound,,none,8,5,,
00e004000000,unbound,,none,8,4,,
002005000000,unbound,,none,8,4,,
000090000000,unbound,,none,8,8,,
3c00e4040000,unbound,,none,8,2,,
008000000000,unbound,,none,8,5,,
0000ffff0080,unbound,,none,8,5,,
0060ffff00a0,unbound,,none,8,2,,
00a000000080,unbound,,none,8,2,,
6c0000000000,unbound,,none,8,8,,
0000b7610100,unbound,,none,8,2,,
0080faff0000,unbound,,none,8,5,,
3c00ac030000,unbound,,none,8,4,,
00808ac30000,unbound,,none,8,4,,
0000e4000000,unbound,,none,7,7,,
000000001800,unbound,,none,7,6,,
000000000600,unbound,,none,7,7,,
00000000a800,unbound,,none,7,7,,
000000010000,unbound,,none,7,7,,
140048010000,unbound,,none,7,2,,
3c00ee042c00,unbound,,none,7,7,,
924166beb371,unbound,,none,7,1,,
e20700000000,unbound,,none,7,6,,
040601f2e207,unbound,,none,7,2,,
0080ffff0000,unbound,,none,7,5,,
b5000000b500,unbound,,none,7,2,,
4bffffffb500,unbound,,none,7,2,,
8effffff0000,unbound,,none,7,1,,
0080fdff0000,unbound,,none,7,2,,
00c0000000a0,unbound,,none,7,3,,
00c000000000,bound_family_unique,wal12b,medium,7,4,,"auto-bound via unique family candidate (wal, min_face_count=6)"
ffffe1930000,unbound,,none,7,1,,
000000000080,unbound,,none,7,7,,
0000fdff0000,unbound,,none,7,1,,
a45bee040200,unbound,,none,7,7,,
200036020000,unbound,,none,7,7,,
0080ffff00e0,bound_family_unique,wal12b,medium,7,2,,"auto-bound via unique family candidate (wal, min_face_count=6)"
004000000080,unbound,,none,7,3,,
f009e204a01a,unbound,,none,6,6,,
00003c000000,unbound,,none,6,6,,
000000003000,unbound,,none,6,5,,
f6060000a400,unbound,,none,6,2,,
0c0000000000,unbound,,none,6,6,,
800096050000,unbound,,none,6,2,,
0000dc4b0100,unbound,,none,6,2,,
2a0100000c00,unbound,,none,6,4,,
1c0044020000,unbound,,none,6,3,,
000000004800,unbound,,none,6,6,,
000000c10000,unbound,,none,6,5,,
00003f820000,unbound,,none,6,3,,
1000ca000000,unbound,,none,6,3,,
0000000072ff,unbound,,none,6,3,,
2ef9e4be2ef9,unbound,,none,6,1,,
000040430000,unbound,,none,6,3,,
feff434d0100,unbound,,none,6,3,,
00c0ffff0080,unbound,,none,6,3,,
4bffffff0000,unbound,,none,6,2,,
00e000000060,unbound,,none,6,2,,
002000000060,unbound,,none,6,3,,
002000000020,unbound,,none,6,2,,
0020000000a0,unbound,,none,6,2,,
b50000004bff,unbound,,none,6,2,,
3c0071030000,unbound,,none,6,6,,
07003e020000,bound_family_unique,wal12b,medium,6,3,,"auto-bound via unique family candidate (wal, min_face_count=6)"
08003e020000,bound_family_unique,wal12b,medium,6,3,,"auto-bound via unique family candidate (wal, min_face_count=6)"
1c0014020000,bound_family_unique,wal12b,medium,6,4,,"auto-bound via unique family candidate (wal, min_face_count=6)"
00c0010000a0,bound_family_unique,wal12b,medium,6,4,,"auto-bound via unique family candidate (wal, min_face_count=6)"
00c001000000,unbound,,none,6,2,,
6c0118140000,unbound,,none,6,3,,
ee4757bd6aa5,unbound,,none,6,1,,
4c0074050000,unbound,,none,6,3,,
0100b4080000,unbound,,none,6,3,,
0adf00008083,unbound,,none,6,3,,
440058030000,unbound,,none,6,2,,
0600feffffff,unbound,,none,6,6,,
000000ffffff,unbound,,none,6,6,,
00c304000000,unbound,,none,6,6,,
c043000000c4,unbound,,none,6,6,,
0005a0ba0005,unbound,,none,6,6,,
00c307000000,unbound,,none,6,6,,
3044000000c3,unbound,,none,6,6,,
00800000803f,unbound,,none,6,6,,
00430a000000,unbound,,none,6,6,,
30c400000044,unbound,,none,6,6,,
00008a3c0100,unbound,,none,6,6,,
030060020000,unbound,,none,6,6,,
0900c4020000,unbound,,none,6,6,,
030036020000,unbound,,none,6,6,,
50f5ffff0000,unbound,,none,6,6,,
000000410000,unbound,,none,6,4,,
00000a740000,unbound,,none,6,2,,
9be8a13ee8dc,unbound,,none,6,1,,
0000feff00c0,unbound,,none,6,2,,
0000feff0080,unbound,,none,6,2,,
00c0ffff00e0,bound_family_unique,wal12b,medium,6,4,,"auto-bound via unique family candidate (wal, min_face_count=6)"
0000ffff00a0,bound_family_unique,wal12b,medium,6,3,,"auto-bound via unique family candidate (wal, min_face_count=6)"
0080ffff00a0,bound_family_unique,wal12b,medium,6,2,,"auto-bound via unique family candidate (wal, min_face_count=6)"
008001000080,unbound,,none,6,3,,
00c0feff0080,unbound,,none,6,3,,
00d8ffff0020,unbound,,none,5,4,,
3c00e2040000,unbound,,none,5,5,,
000018000000,unbound,,none,5,5,,
540020040000,unbound,,none,5,3,,
4c00dc030000,unbound,,none,5,2,,
6d0000006e00,unbound,,none,5,5,,
730000007400,unbound,,none,5,5,,
00000000fc00,unbound,,none,5,4,,
000000000800,unbound,,none,5,5,,
000000007200,unbound,,none,5,3,,
00000000b400,unbound,,none,5,5,,
000000009000,unbound,,none,5,5,,
9c0000000000,unbound,,none,5,5,,
00009c000000,unbound,,none,5,5,,
04005603feff,unbound,,none,5,1,,
10007e010000,unbound,,none,5,5,,
1400a8010000,unbound,,none,5,3,,
a01dee040000,unbound,,none,5,5,,
030072010000,unbound,,none,5,3,,
000080420000,unbound,,none,5,4,,
120000000000,unbound,,none,5,5,,
000000002ef9,unbound,,none,5,4,,
431f933e1a34,unbound,,none,5,1,,
ffff89fd0000,unbound,,none,5,2,,
02cb000002bb,unbound,,none,5,2,,
000080430000,unbound,,none,5,4,,
0080fcff0000,unbound,,none,5,1,,
000003000000,unbound,,none,5,2,,
006001000000,unbound,,none,5,2,,
0060010000e0,unbound,,none,5,3,,
0060ffff00e0,unbound,,none,5,2,,
900cfe040000,unbound,,none,5,5,,
0000e0fe1800,unbound,,none,5,5,,
00008503db01,unbound,,none,5,5,,
4afe03069940,unbound,,none,5,5,,
0000db004800,unbound,,none,5,5,,
99407dc50000,unbound,,none,5,5,,
00000c000000,unbound,,none,5,5,,
840000008503,unbound,,none,5,5,,
0000850325fd,unbound,,none,5,5,,
98407dc50000,unbound,,none,5,5,,
0000000067ff,unbound,,none,5,2,,
900cc5010000,unbound,,none,5,5,,
48004a050000,unbound,,none,5,3,,
00000000ffff,unbound,,none,5,4,,
900cfe040200,unbound,,none,5,5,,
4000d6030000,unbound,,none,5,5,,
1400f0010000,unbound,,none,5,3,,
18001a020000,unbound,,none,5,5,,
006900000000,unbound,,none,5,3,,
00000000c000,unbound,,none,5,5,,
00008eb80000,unbound,,none,5,3,,
00004d910300,unbound,,none,5,2,,
1c00e0020000,unbound,,none,5,1,,
00001ca50100,unbound,,none,5,1,,
30009e030000,unbound,,none,5,1,,
008002000000,bound_family_unique,wal12b,medium,5,4,,"auto-bound via unique family candidate (wal, min_face_count=1)"
00c0ffff00a0,bound_family_unique,wal12b,medium,5,4,,"auto-bound via unique family candidate (wal, min_face_count=1)"
00d0ffff0020,unbound,,none,4,4,,
002800005d01,unbound,,none,4,4,,
003000000030,unbound,,none,4,4,,
00f8ffff0020,unbound,,none,4,4,,
180006010000,unbound,,none,4,4,,
0000ffffcd00,unbound,,none,4,4,,
a01ae2042c00,unbound,,none,4,4,,
5400d8030000,unbound,,none,4,2,,
3000a6020000,unbound,,none,4,2,,
240040020000,unbound,,none,4,2,,
1c0300003000,unbound,,none,4,2,,
c80100000800,unbound,,none,4,2,,
f08900000900,unbound,,none,4,2,,
ea0100000c00,unbound,,none,4,2,,
0000ad620000,unbound,,none,4,2,,
c60300004400,unbound,,none,4,2,,
000030000000,unbound,,none,4,4,,
00d0ffff00fa,unbound,,none,4,2,,
00b0ffff00f7,unbound,,none,4,2,,
00a0ffff00f4,unbound,,none,4,2,,
00d0ffff00f5,unbound,,none,4,2,,
00b0ffff00ef,unbound,,none,4,2,,
00a0ffff00e9,unbound,,none,4,2,,
00d0ffff00f1,unbound,,none,4,2,,
00b0ffff00ea,unbound,,none,4,2,,
00a0ffff00e2,unbound,,none,4,2,,
90001e060000,unbound,,none,4,2,,
70000e050000,unbound,,none,4,2,,
600086040000,unbound,,none,4,2,,
3c0089660100,unbound,,none,4,2,,
b0002e070000,unbound,,none,4,2,,
a400c8060000,unbound,,none,4,2,,
440098030000,unbound,,none,4,2,,
d800ca080000,unbound,,none,4,2,,
c80042080000,unbound,,none,4,2,,
b800ba070000,unbound,,none,4,2,,
940088060000,unbound,,none,4,2,,
4400e0030000,unbound,,none,4,2,,
7c00bc050000,unbound,,none,4,3,,
2000ae020000,unbound,,none,4,2,,
41ffffff0000,unbound,,none,4,4,,
1dffffff94ff,unbound,,none,4,4,,
84ffffff47ff,unbound,,none,4,4,,
000000001900,unbound,,none,4,4,,
4f0000000000,unbound,,none,4,4,,
c00000000000,unbound,,none,4,3,,
cc0000000000,unbound,,none,4,4,,
e40000000000,unbound,,none,4,4,,
840000000000,unbound,,none,4,4,,
0000c0000000,unbound,,none,4,4,,
01ffffff0000,unbound,,none,4,3,,
005c000000ed,bound_family_unique,basket,medium,4,1,,"auto-bound via unique family candidate (basket, min_face_count=1)"
000020c30000,unbound,,none,4,2,,
8a0100000400,unbound,,none,4,1,,
000000002001,unbound,,none,4,4,,
000000430000,unbound,,none,4,2,,
000060440000,unbound,,none,4,2,,
000000c20000,unbound,,none,4,4,,
5c006c050000,unbound,,none,4,2,,
2c0028030000,unbound,,none,4,1,,
0400ad15ffff,unbound,,none,4,2,,
4c00d4050000,unbound,,none,4,1,,
0000803ffeff,unbound,,none,4,3,,
000000003c00,unbound,,none,4,3,,
7400ee040200,unbound,,none,4,4,,
e40000008eff,unbound,,none,4,4,,
00000000f000,unbound,,none,4,4,,
00000000bc00,unbound,,none,4,1,,
00000000fcff,unbound,,none,4,4,,
d400b40e0000,unbound,,none,4,2,,
fdff434d0100,unbound,,none,4,2,,
40000e050000,unbound,,none,4,2,,
6c00a8060000,unbound,,none,4,2,,
5000d6050000,unbound,,none,4,2,,
140040030000,unbound,,none,4,2,,
000000001cff,unbound,,none,4,1,,
0000cc420000,unbound,,none,4,2,,
0060ffff0060,unbound,,none,4,2,,
006001000020,unbound,,none,4,2,,
00e0000000a0,unbound,,none,4,2,,
0020000000e0,unbound,,none,4,2,,
00e0000000e0,unbound,,none,4,2,,
0020feff0060,unbound,,none,4,2,,
00a002000048,unbound,,none,4,2,,
0001000000ff,unbound,,none,4,4,,
000100000001,unbound,,none,4,4,,
0001000000fe,unbound,,none,4,4,,
1f00cc000000,unbound,,none,4,4,,
c000000001d8,unbound,,none,4,4,,
7bfcdcfe0306,unbound,,none,4,4,,
00000000db00,unbound,,none,4,4,,
df0178000000,unbound,,none,4,4,,
000001fd6c00,unbound,,none,4,4,,
000000000002,unbound,,none,4,4,,
54000000ff27,unbound,,none,4,4,,
000103069840,unbound,,none,4,4,,
01d81f003000,unbound,,none,4,4,,
0000c0010306,unbound,,none,4,4,,
000085032401,unbound,,none,4,4,,
0c0000008503,unbound,,none,4,4,,
030699407dc5,unbound,,none,4,4,,
4afe90000000,unbound,,none,4,4,,
000800feb400,unbound,,none,4,4,,
00000000b601,unbound,,none,4,4,,
1cffffff7200,unbound,,none,4,2,,
ff0000000f00,unbound,,none,4,4,,
0c006c010000,bound_family_unique,wal12b,medium,4,4,,"auto-bound via unique family candidate (wal, min_face_count=1)"
000002000040,unbound,,none,4,4,,
900c81030000,unbound,,none,4,4,,
86000000da00,unbound,,none,4,4,,
7affffffda00,unbound,,none,4,4,,
7affffff26ff,unbound,,none,4,4,,
8600000026ff,unbound,,none,4,4,,
380026030000,unbound,,none,4,2,,
1800c6010000,unbound,,none,4,2,,
000001050000,unbound,,none,4,2,,
0000bfdd0000,unbound,,none,4,1,,
140008020000,unbound,,none,4,3,,
000001000000,unbound,,none,4,1,,
c80400005000,unbound,,none,4,1,,
500200001000,unbound,,none,4,1,,
00b100000000,unbound,,none,4,2,,
005900000000,unbound,,none,4,2,,
00a9ffff0000,unbound,,none,4,2,,
0099ffff0000,unbound,,none,4,2,,
0049ffff0000,unbound,,none,4,2,,
30002e030000,unbound,,none,4,2,,
0000f8bb0100,unbound,,none,4,2,,
932a01000000,unbound,,none,4,2,,
fbff4d910300,unbound,,none,4,2,,
00000000800c,unbound,,none,4,4,,
00000000b00c,unbound,,none,4,4,,
00000000e00c,unbound,,none,4,4,,
dfae00000000,unbound,,none,4,1,,
780300002800,unbound,,none,4,4,,
000000806f31,unbound,,none,4,4,,
aa0300002c00,unbound,,none,4,4,,
f60300003400,unbound,,none,4,4,,
33063f132e69,unbound,,none,4,4,,
000000000400,unbound,,none,4,3,,
f304353ff304,unbound,,none,4,2,,
0080faffd100,unbound,,none,4,4,,
00008f040100,unbound,,none,4,1,,
0400a0000000,unbound,,none,4,1,,
c09401050000,unbound,,none,4,4,,
090000008094,unbound,,none,4,4,,
409501050000,unbound,,none,4,4,,
0c000000e094,unbound,,none,4,4,,
709601050000,unbound,,none,4,4,,
209501050000,unbound,,none,4,4,,
0f0000000000,unbound,,none,4,4,,
0080dd430000,unbound,,none,4,4,,
00808a430000,unbound,,none,4,4,,
3c00b5010000,unbound,,none,4,4,,
00000400feff,unbound,,none,4,1,,
0f000000ff00,unbound,,none,4,2,,
380040030000,unbound,,none,4,2,,
1000ae010000,unbound,,none,4,1,,
9000ee050000,unbound,,none,4,1,,
b20c02000000,unbound,,none,4,1,,
000010c80000,unbound,,none,4,1,,
000002000080,unbound,,none,4,2,,
fcff7fbffd6f,unbound,,none,4,1,,
2800c0010000,bound_family_unique,wal12b,medium,4,4,,"auto-bound via unique family candidate (wal, min_face_count=1)"
d18100000000,unbound,,none,4,4,,
3400d0030000,unbound,,none,4,1,,
0040feff0060,bound_family_unique,wal12b,medium,4,2,,"auto-bound via unique family candidate (wal, min_face_count=1)"
0080000000e0,bound_family_unique,wal12b,medium,4,2,,"auto-bound via unique family candidate (wal, min_face_count=1)"
0040feff00a0,bound_family_unique,wal12b,medium,4,2,,"auto-bound via unique family candidate (wal, min_face_count=1)"
0040feff0080,unbound,,none,4,2,,
603df4040020,unbound,,none,3,3,,
b036e2043c00,unbound,,none,3,3,,
060000000700,unbound,,none,3,3,,
0c0000000d00,unbound,,none,3,3,,
180000001900,unbound,,none,3,3,,
1e0000001f00,unbound,,none,3,3,,
000054000000,unbound,,none,3,3,,
00d0ffff00f0,unbound,,none,3,3,,
00d0ffff0000,unbound,,none,3,3,,
5c0064040000,unbound,,none,3,2,,
08009a010000,unbound,,none,3,3,,
d5000ebf4001,unbound,,none,3,1,,
9eb8eebe5fd9,unbound,,none,3,1,,
000000000100,unbound,,none,3,3,,
000000bf0000,unbound,,none,3,3,,
0000ffff00c0,unbound,,none,3,3,,
2c00e2041c00,unbound,,none,3,3,,
640260180000,unbound,,none,3,1,,
7402e8180000,unbound,,none,3,1,,
5400d8060000,unbound,,none,3,1,,
002800000000,unbound,,none,3,1,,
000000000020,unbound,,none,3,2,,
00000000d800,unbound,,none,3,3,,
000000006000,unbound,,none,3,3,,
ac0700004800,unbound,,none,3,1,,
0042000000e5,bound_family_unique,basket,medium,3,1,,"auto-bound via unique family candidate (basket, min_face_count=1)"
0e0000000000,unbound,,none,3,3,,
377300000040,unbound,,none,3,3,,
060078020000,unbound,,none,3,3,,
0600da010000,unbound,,none,3,3,,
0040ffff3773,unbound,,none,3,3,,
1c002a010000,unbound,,none,3,3,,
377300003773,unbound,,none,3,3,,
10002a010000,unbound,,none,3,3,,
04000001d900,unbound,,none,3,3,,
540bee04a433,unbound,,none,3,3,,
0000a4780000,unbound,,none,3,1,,
040072010000,unbound,,none,3,2,,
000058440000,unbound,,none,3,3,,
10003e020000,unbound,,none,3,3,,
2000e6020000,unbound,,none,3,2,,
0400c0010000,unbound,,none,3,2,,
008888430000,unbound,,none,3,2,,
340300000800,unbound,,none,3,2,,
000000004c00,unbound,,none,3,2,,
000060c40000,unbound,,none,3,3,,
030000000000,unbound,,none,3,3,,
000040c30000,unbound,,none,3,2,,
0000b3960200,unbound,,none,3,2,,
3800fa030000,unbound,,none,3,1,,
48002c040000,unbound,,none,3,1,,
00a0ffff02bb,unbound,,none,3,2,,
050000000000,unbound,,none,3,3,,
900000000000,unbound,,none,3,3,,
000000009c00,unbound,,none,3,3,,
ffff55ffffff,unbound,,none,3,1,,
ffff5affffff,unbound,,none,3,1,,
000000e0faff,unbound,,none,3,1,,
e40000007200,unbound,,none,3,3,,
000000000c00,unbound,,none,3,3,,
20007a020000,unbound,,none,3,2,,
00000000097e,unbound,,none,3,1,,
c80200001000,unbound,,none,3,2,,
ea0200001400,unbound,,none,3,2,,
0040feff0040,unbound,,none,3,1,,
0000ffff0040,unbound,,none,3,1,,
0080000000c0,unbound,,none,3,2,,
0080ffff0040,unbound,,none,3,1,,
00ffffff0005,unbound,,none,3,2,,
0000000005ff,unbound,,none,3,2,,
fc0000000000,unbound,,none,3,2,,
00a0000000e0,unbound,,none,3,3,,
00a001000020,unbound,,none,3,2,,
580300002000,unbound,,none,3,1,,
8a0300002400,unbound,,none,3,1,,
000200000000,unbound,,none,3,2,,
000000000005,unbound,,none,3,1,,
00ffffff0038,unbound,,none,3,1,,
0000000000fd,unbound,,none,3,1,,
00caffff0021,unbound,,none,3,1,,
000000001c00,unbound,,none,3,3,,
08ffffffc2ff,unbound,,none,3,3,,
f8000000c2ff,unbound,,none,3,3,,
b00000003a00,unbound,,none,3,2,,
b3000000b300,unbound,,none,3,2,,
b30000004dff,unbound,,none,3,2,,
00feffff00f3,unbound,,none,3,2,,
3c0071030200,unbound,,none,3,3,,
040f18abffff,unbound,,none,3,1,,
00000000e400,unbound,,none,3,3,,
000000004bff,unbound,,none,3,2,,
180100000000,unbound,,none,3,2,,
2bffffff8c00,unbound,,none,3,1,,
feffffff01ff,unbound,,none,3,1,,
00000000f800,unbound,,none,3,2,,
000016dbfeff,bound_family_unique,wal12b,medium,3,3,,"auto-bound via unique family candidate (wal, min_face_count=1)"
bfed00000000,bound_family_unique,wal12b,medium,3,3,,"auto-bound via unique family candidate (wal, min_face_count=1)"
080042010000,bound_family_unique,wal12b,medium,3,3,,"auto-bound via unique family candidate (wal, min_face_count=1)"
0000fe1a0100,bound_family_unique,wal12b,medium,3,3,,"auto-bound via unique family candidate (wal, min_face_count=1)"
1400c0010000,bound_family_unique,wal12b,medium,3,3,,"auto-bound via unique family candidate (wal, min_face_count=1)"
00004001ae10,unbound,,none,3,3,,
0000b400f00a,unbound,,none,3,3,,
00000c00b404,unbound,,none,3,3,,
6fffffff2eff,unbound,,none,3,3,,
910000002eff,unbound,,none,3,3,,
01fffffff1ff,unbound,,none,3,3,,
9c000000ca00,unbound,,none,3,3,,
64ffffffca00,unbound,,none,3,3,,
540170130000,unbound,,none,3,3,,
4401c8120000,unbound,,none,3,3,,
2c0178110000,unbound,,none,3,3,,
1401d0100000,unbound,,none,3,3,,
040128100000,unbound,,none,3,3,,
f400600f0000,unbound,,none,3,3,,
e400b00e0000,unbound,,none,3,3,,
d400e80d0000,unbound,,none,3,3,,
c400180d0000,unbound,,none,3,3,,
b400600c0000,unbound,,none,3,3,,
a400b00b0000,unbound,,none,3,3,,
9400080b0000,unbound,,none,3,3,,
8400600a0000,unbound,,none,3,3,,
7400b8090000,unbound,,none,3,3,,
6400e6080000,unbound,,none,3,3,,
2c00c4060000,unbound,,none,3,3,,
1400c8050000,unbound,,none,3,3,,
040020050000,unbound,,none,3,3,,
38005e150000,unbound,,none,3,3,,
640118140000,unbound,,none,3,3,,
500146130000,unbound,,none,3,3,,
40019e120000,unbound,,none,3,3,,
1801fa100000,unbound,,none,3,3,,
080152100000,unbound,,none,3,3,,
f8008a0f0000,unbound,,none,3,3,,
e800da0e0000,unbound,,none,3,3,,
d800320b0000,unbound,,none,3,3,,
8800600a0000,unbound,,none,3,3,,
70008e090000,unbound,,none,3,3,,
5400ee060000,unbound,,none,3,3,,
200046060000,unbound,,none,3,3,,
10009e050000,unbound,,none,3,3,,
0000000011f3,unbound,,none,3,3,,
740071030200,unbound,,none,3,3,,
000000008300,unbound,,none,3,1,,
20005d5b0200,unbound,,none,3,3,,
800096070000,unbound,,none,3,3,,
18007c240400,unbound,,none,3,3,,
7c006c070000,unbound,,none,3,3,,
ec15ffff8083,unbound,,none,3,3,,
8c0014080000,unbound,,none,3,3,,
2c0024040000,unbound,,none,3,3,,
0d00b4080000,unbound,,none,3,3,,
780042070000,unbound,,none,3,3,,
180052030000,unbound,,none,3,3,,
080096070000,unbound,,none,3,3,,
14000000fdff,unbound,,none,3,3,,
98003e080000,unbound,,none,3,3,,
5c001c060000,unbound,,none,3,3,,
280080020000,unbound,,none,3,3,,
0700b4080000,unbound,,none,3,3,,
5c0078040000,unbound,,none,3,3,,
740018070000,unbound,,none,3,3,,
0200f4000000,unbound,,none,3,1,,
000040c30080,unbound,,none,3,1,,
ca0000000400,unbound,,none,3,2,,
2800da020000,unbound,,none,3,3,,
