rank,texture_tag_hex,face_count,model_count,dominant_model_family,family_model_hits,bsi_family_count,bsi_family_examples,sample_models
19,2b0000002c00,38,36,7,3,0,,7CLIFF.3D | 7SEDHI.3D | 7TREE.3D | BSP_GTHS.3D | BSP_TWR1.3D | EARROW.3D | EMACE.3D | ESTAFF.3D
20,000080bf0000,37,29,l,3,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,BSP_TRP1.3D | DMTELE.3D | DOR05.3D | DOR08.3D | DRWB01.3D | L419.3D | L4A.3D | L4CELL2.3D
21,310000003200,36,34,7,3,0,,7CLIFF.3D | 7SEDHI.3D | 7TREE.3D | BSP_DNG4.3D | BSP_GTHS.3D | BSP_TWR1.3D | EARROW.3D | EMACE.3D
22,ffff00000000,32,22,7,4,0,,7BOLT.3D | 7STOCK.3D | 7TREE.3D | 7VOLC2.3D | DM4.3D | L47.3D | L48.3D | L4CELL4.3D
23,370000003800,29,29,7,3,0,,7CLIFF.3D | 7SEDHI.3D | 7TREE.3D | BSP_DNG4.3D | BSP_GTHS.3D | BSP_TWR1.3D | EARROW.3D | EWARAXE.3D
24,3d0000003e00,26,26,7,3,0,,7CLIFF.3D | 7SEDHI.3D | 7TREE.3D | BSP_GTHS.3D | BSP_TWR1.3D | EARROW.3D | EWARAXE.3D | EXBOW.3D
25,140030020000,26,10,7,8,0,,7ATDOWN.3D | 7ATUP.3D | 7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D
26,00e0fdff0000,20,4,bsp,4,0,,BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D
27,006000000000,20,2,7,2,0,,7BOULDR.3D | 7ROCK.3D
28,430000004400,19,19,7,2,0,,7CLIFF.3D | 7SEDHI.3D | BSP_GTHS.3D | BSP_TWR1.3D | EARROW.3D | EWARAXE.3D | EXBOW.3D | L2PIL12.3D
29,040000010000,19,11,l,5,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,BRG02.3D | BSP_CAT1.3D | BSP_WAL3.3D | L4CONVEN.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D
30,490000004a00,18,18,7,2,0,,7CLIFF.3D | 7SEDHI.3D | BSP_GTHS.3D | BSP_TWR1.3D | EARROW.3D | EWARAXE.3D | EXBOW.3D | L2PIL12.3D
31,88000a060000,18,10,7,8,0,,7ATDOWN.3D | 7ATUP.3D | 7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D
32,0080feff0000,18,10,l,7,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,KEEP01.3D | L434.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
33,00e0ffff0000,18,5,bsp,4,0,,BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D | L4V.3D
