texture_tag_hex,face_count,model_count,sample_models
0300feffffff,13,8,7BOLT.3D | 7STOCK.3D | 7TREE.3D | L43.3D | L443.3D | L47.3D | L48.3D | L4SEDISL.3D
5b0000005c00,13,13,7CLIFF.3D | BSP_GTHS.3D | L2PIL12.3D | L2PIL14.3D | L2PIL19.3D | L2PIL4.3D | L2PIL7.3D | L2RP1.3D
000000007800,13,13,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D
008001000000,13,8,L437.3D | L4SLAB1.3D | L4SLAB2.3D | L4SLAB3.3D | L4SLAB4.3D | ZBUZZ.3D | ZCULT.3D | ZTURN.3D
180054010000,13,8,L4CONVEN.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D | L4WALK2.3D
3c00e2040001,12,12,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7PYLON1.3D | 7PYLON2.3D | 7ROPE1.3D
2b0000000000,12,12,7FORM2.3D | 7FORM3.3D | L4BROK.3D | L4BROK1.3D | L4BROK2.3D | L4BROK3.3D | L4BROK4.3D | L4BROK5.3D
0000a8000000,12,12,7STOCK.3D | L47.3D | L48.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D
ffff3f820000,12,3,BRG02.3D | BSP_CAT1.3D | BSP_WAL3.3D
004000000000,12,4,BSP_CL12.3D | KEEP01.3D | L4LAND.3D | WAL09.3D
780000000000,12,12,BSP_WAL8.3D | GAUNTS.3D | L47.3D | L48.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D
0060ffff0020,12,2,DNG05.3D | DNG06.3D
1800ea010000,12,4,KCAT3.3D | WAL12.3D | WAL13.3D | ZWIDE.3D
040018010000,12,4,KCAT3.3D | WAL12.3D | WAL13.3D | ZWIDE.3D
00000000803f,12,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
300000000000,11,11,7BOLT.3D | 7TREE.3D | BSP_WAL8.3D | EARROW.3D | EWARAXE.3D | L410.3D | L47.3D | L48.3D
a80000000000,11,9,BSP_GTHS.3D | EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D | L6Q01.3D | TOWER1.3D
0080ffff00c0,11,4,BSP_WAL6.3D | L426.3D | SC09.3D | SC16.3D
b40000000000,11,11,GAUNTS.3D | L47.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
00c000000080,11,2,ZCULT.3D | ZTURN.3D
7800a6030000,10,10,7ATDOWN.3D | 7ATUP.3D | 7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D
6d000000b9ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
ee000000cfff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
fc000000d7ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
f5000000d7ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
fd000000e0ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
6f000000c4ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
51ffffffc4ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
03ffffffe0ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
08ffffffdeff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
13ffffffcdff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
52ffffffbfff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
00000000b8ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
4e00000045ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
c000000065ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
d600000075ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
d200000079ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
