file,point_count,plane_count,face_count,face_point_total,unique_texture_tags,signature
WALLF8.3D,24,20,20,84,1,65e0c4a6f056e30e1eb80d0e042544a1d3ccd68c
WALLFORM.3D,24,20,20,84,1,65e0c4a6f056e30e1eb80d0e042544a1d3ccd68c
WALTOR.3D,4,2,2,6,1,0bc9c0444142db573fb8407f91604ad46052422d
WARAXE.3D,57,56,56,214,1,16c461cef7dcea6a84bc9b4864c82971d8928fce
WARAXE01.3D,33,43,43,148,1,3d243e8d0aa7f796ded10a47852449a4816ba475
WARBED.3D,48,33,33,132,1,95abf40ab9e563c6357b171532f79e5337085d59
WARBOOKS.3D,32,26,26,112,1,a7d9d140a8c089fadf3aadf1b34a82fcc5ebc718
WARPILL.3D,48,46,46,184,1,d5d9df69933edceeb1c1215f6207208094b3797e
WARRUG.3D,4,1,1,4,1,c251683ab60b3212539d6ea4980edc6409a888b2
WARRUG2.3D,4,1,1,4,1,c251683ab60b3212539d6ea4980edc6409a888b2
WARSOX.3D,20,14,14,56,1,9f393d91270b8dcd0321d3de181991a744814931
WARTABLE.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
WATRFL.3D,19,26,26,78,1,0dc33637d5823d2c230674d4199925bd5e6b4d36
WCHILL1.3D,20,33,33,99,1,25b4cd7496aee608a9902eec3e4f5a5551bcce8e
WEAPTABL.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
WELL.3D,116,112,112,456,1,3f6b23c5648a833cc48e6f08443d300b58a41bde
WELLCAP.3D,22,30,30,100,1,b1e21040aaac0ad74f124aaebf3263e9a06680a4
WHALL1.3D,12,10,10,30,1,5c2cae8456840c1380931d065f4ded934836aeb5
WHEEL.3D,192,152,152,614,1,2c0443ae4519ce734b6671baf454145d7ca63c91
WHEEL2.3D,18,21,21,74,1,6a8212390bfc55862d63bb3b0a2c8bb9d7268d67
WHEEL3.3D,18,21,21,74,1,6a8212390bfc55862d63bb3b0a2c8bb9d7268d67
WINDML1.3D,53,61,61,222,1,b548b53dfd16d29333a4c1806e4ba29b31271ec7
WINDML2.3D,72,92,92,324,1,5402ad15b6f184ed36601050733af2f6d4086d56
WIXSOX.3D,20,14,14,56,1,9f393d91270b8dcd0321d3de181991a744814931
WIZBED.3D,48,33,33,132,1,95abf40ab9e563c6357b171532f79e5337085d59
WIZBOOKS.3D,32,26,26,112,1,a7d9d140a8c089fadf3aadf1b34a82fcc5ebc718
WIZBOT.3D,32,41,41,142,1,59240c57def914f6b92e74462ea545a0c6a551a5
WIZCOUCH.3D,40,44,44,164,1,b7a39ca78b1932bafa127c74b3d19ac4852909b1
WIZPILL.3D,48,46,46,184,1,d5d9df69933edceeb1c1215f6207208094b3797e
WIZRUG.3D,4,1,1,4,1,c251683ab60b3212539d6ea4980edc6409a888b2
WIZRUG2.3D,4,1,1,4,1,c251683ab60b3212539d6ea4980edc6409a888b2
WIZTABL.3D,16,20,20,68,1,5832ada3208530d6df3cf00f2f2a30e139f424b4
WIZTABLE.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
WODHORSE.3D,40,50,50,160,1,1eb9e6ab98432c4153ff9ccfa49802ba662efcb5
WORDW1.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
WORDW2.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
WORDW3.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
WORDW4.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
WOUT1.3D,22,35,35,105,1,75c328a85515bfe64e5b7a701a803190944faf92
WOUT2.3D,20,34,34,102,1,b09e2819d636a3f016bea8698cc5185d3d9e7564
WSHIP1.3D,16,25,25,75,1,937c6b3a93a27b2aa0ac9a9cf696e759cb1b5314
WSLEEP1.3D,24,42,42,126,1,89d82b855f8b4c79fc46be4de9aa394a00f8a4cd
WTRFL1.3D,18,24,24,72,1,8d780e4333b4405ecac99f6d9ad28812ab1c6116
XBOW.3D,32,30,30,128,1,17a86867a0f559fa591145b67c16051711df7f39
YAGARUG.3D,10,1,1,10,1,a3a5a2cc27f9263f054b2cbeeb201b684c3ac176
YAGPIL1.3D,16,14,14,56,1,7d7d4d3960e491253d3c03faf21c3251a9f87b8f
YAGPIL2.3D,16,14,14,56,1,7d7d4d3960e491253d3c03faf21c3251a9f87b8f
YAGPIL3.3D,16,14,14,56,1,7d7d4d3960e491253d3c03faf21c3251a9f87b8f
Z1.3D,56,46,46,184,2,c007ebb04034db9677cab29f472aa3a2e548693d
ZBAND.3D,42,25,25,122,22,ea495c96cc14bdc529a152dc893d4a03f06a4066
ZBANDP.3D,25,17,17,80,8,87f14fd0e95db9a9b412fab92a2816aad9d2b0e0
ZBLOCK.3D,28,16,16,80,8,3675c1d2fa0f652ff47d504620e3639d31cf65db
ZBRACE.3D,8,4,4,16,4,34af044335f6c563f7f307af2c484d02ecb360ca
ZBRACE2.3D,8,4,4,16,4,34af044335f6c563f7f307af2c484d02ecb360ca
ZBUZZ.3D,42,32,32,138,19,e185aba58b498e3105f9c96bd61aad1046ec784a
ZBUZZP.3D,22,19,19,78,1,dfc7920f7d95d18d04b11d104a0f3b14c9209285
ZCAVE.3D,18,12,12,54,5,0e85178fb010112dfa862e243aa647564d2666d4
ZCULT.3D,34,22,22,104,12,c5f6d6518c482fd1a6fce28bda3f0e0f4e0f6e4a
ZHALL.3D,8,8,8,24,1,1d492fbc3de7c873cdb9ae71c9f40107f9942e83
ZHALL2.3D,8,8,8,24,1,1d492fbc3de7c873cdb9ae71c9f40107f9942e83
ZHALL3.3D,8,8,8,24,1,1d492fbc3de7c873cdb9ae71c9f40107f9942e83
ZHALL4.3D,8,8,8,24,1,1d492fbc3de7c873cdb9ae71c9f40107f9942e83
ZLIFT.3D,8,12,12,36,1,264eb98b374ef0d78cbb9e2a8b15758422955933
ZLIFT2.3D,8,12,12,36,11,effdea1418c550e96a369ebc60057e2dbbd3e5f1
ZPLANK.3D,8,6,6,24,3,fb30751ca315fb35a6dd9b7d46594f4f73123f5a
ZPLANKB.3D,8,6,6,24,6,737943a78acdccc962db18a000393a3a879850f3
ZPLANKB2.3D,8,6,6,24,6,2a10ecf3170f5995a9124bb1764755d9080b7375
ZPLANKB3.3D,8,6,6,24,3,1fdef4f31c5cadd1df38939962b7a500a4056b07
ZPLANKB4.3D,8,6,6,24,4,88d40e53b02b64d2e66c6e2b18c9335b90b74578
ZPLAT.3D,32,32,32,128,28,0bb310837daca0e47bff0a5a68e759b9bdbd4ca5
ZSLOPE.3D,22,20,20,70,17,c0e7d027eeddf1bace24f44e384535d595a5fc28
ZTRI.3D,26,12,12,66,9,f0f54897225e7efa2438a1100ce87dda5415da20
ZTRIP.3D,8,6,6,24,5,99e434385ecec2a86b0e58ce0ebaeea913c469e1
ZTURN.3D,24,21,21,80,12,e06369e3b7509040ced739f427e9c34cb634680f
ZWIDE.3D,28,24,24,96,20,91a0aa9e2fc1e11885500f35ff115677337a5587
